2026-07-01 22:42:39,656 | ERROR    | StatisticsManager | FINNHUB failed after 0.2364s
2026-07-01 22:42:39,657 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:39,873 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:39,874 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:40,179 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:40,180 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:40,181 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : V
2026-07-01 22:42:40,182 | INFO     | SourceEngine | REQUEST : MA
2026-07-01 22:42:40,387 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:40,388 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:40,835 | ERROR    | StatisticsManager | FINNHUB failed after 0.2213s
2026-07-01 22:42:40,836 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:41,057 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:41,058 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:41,281 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:41,282 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:41,283 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : MA
2026-07-01 22:42:41,285 | INFO     | SourceEngine | REQUEST : MA
2026-07-01 22:42:41,495 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:41,496 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:41,969 | ERROR    | StatisticsManager | FINNHUB failed after 0.2375s
2026-07-01 22:42:41,971 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:42,195 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:42,196 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:43,469 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:43,470 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:43,471 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : MA
2026-07-01 22:42:43,473 | INFO     | SourceEngine | REQUEST : MA
2026-07-01 22:42:43,675 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:43,676 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:44,137 | ERROR    | StatisticsManager | FINNHUB failed after 0.2320s
2026-07-01 22:42:44,138 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:44,350 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:44,351 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:44,570 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:44,571 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:44,572 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : MA
2026-07-01 22:42:44,573 | INFO     | SourceEngine | REQUEST : LLY
2026-07-01 22:42:44,849 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:44,850 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:45,306 | ERROR    | StatisticsManager | FINNHUB failed after 0.2195s
2026-07-01 22:42:45,307 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:45,548 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:45,549 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:46,098 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:46,100 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:46,100 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : LLY
2026-07-01 22:42:46,102 | INFO     | SourceEngine | REQUEST : LLY
2026-07-01 22:42:46,308 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:46,309 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:46,742 | ERROR    | StatisticsManager | FINNHUB failed after 0.2125s
2026-07-01 22:42:46,743 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:46,954 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:46,955 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:47,292 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:47,293 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:47,294 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : LLY
2026-07-01 22:42:47,295 | INFO     | SourceEngine | REQUEST : LLY
2026-07-01 22:42:47,506 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:47,507 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:47,975 | ERROR    | StatisticsManager | FINNHUB failed after 0.2329s
2026-07-01 22:42:47,976 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:48,191 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:48,192 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:49,137 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:49,138 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:49,139 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : LLY
2026-07-01 22:42:49,140 | INFO     | SourceEngine | REQUEST : UNH
2026-07-01 22:42:49,347 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:49,348 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:49,812 | ERROR    | StatisticsManager | FINNHUB failed after 0.2328s
2026-07-01 22:42:49,813 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:50,023 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:50,024 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:51,507 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:51,508 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:51,509 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : UNH
2026-07-01 22:42:51,510 | INFO     | SourceEngine | REQUEST : UNH
2026-07-01 22:42:51,712 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:51,713 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:52,201 | ERROR    | StatisticsManager | FINNHUB failed after 0.2414s
2026-07-01 22:42:52,202 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:52,416 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:52,417 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:53,409 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:53,410 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:53,411 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : UNH
2026-07-01 22:42:53,412 | INFO     | SourceEngine | REQUEST : UNH
2026-07-01 22:42:53,618 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:53,619 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:54,181 | ERROR    | StatisticsManager | FINNHUB failed after 0.3354s
2026-07-01 22:42:54,182 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:54,413 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:54,414 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:54,653 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:54,654 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:54,655 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : UNH
2026-07-01 22:42:54,656 | INFO     | SourceEngine | REQUEST : ABBV
2026-07-01 22:42:54,864 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:54,865 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:55,337 | ERROR    | StatisticsManager | FINNHUB failed after 0.2359s
2026-07-01 22:42:55,338 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:55,544 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:55,545 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:55,761 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:55,762 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:55,763 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : ABBV
2026-07-01 22:42:55,764 | INFO     | SourceEngine | REQUEST : ABBV
2026-07-01 22:42:55,972 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:55,973 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:56,452 | ERROR    | StatisticsManager | FINNHUB failed after 0.2362s
2026-07-01 22:42:56,452 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:56,666 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:56,666 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:57,714 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:57,715 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:57,716 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : ABBV
2026-07-01 22:42:57,717 | INFO     | SourceEngine | REQUEST : ABBV
2026-07-01 22:42:57,918 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:57,919 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:58,376 | ERROR    | StatisticsManager | FINNHUB failed after 0.2197s
2026-07-01 22:42:58,378 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:58,593 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:58,594 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:42:58,812 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:42:58,813 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:42:58,813 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : ABBV
2026-07-01 22:42:58,814 | INFO     | SourceEngine | REQUEST : XOM
2026-07-01 22:42:59,010 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:42:59,011 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:42:59,479 | ERROR    | StatisticsManager | FINNHUB failed after 0.2348s
2026-07-01 22:42:59,480 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:42:59,706 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:42:59,707 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:43:00,572 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:43:00,574 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:43:00,575 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : XOM
2026-07-01 22:43:00,576 | INFO     | SourceEngine | REQUEST : XOM
2026-07-01 22:43:00,777 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:43:00,778 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:43:01,237 | ERROR    | StatisticsManager | FINNHUB failed after 0.2344s
2026-07-01 22:43:01,238 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
2026-07-01 22:43:01,450 | WARNING  | HealthManager | Provider FMP is unhealthy.
2026-07-01 22:43:01,451 | WARNING  | SourceEngine | FMP OFFLINE
2026-07-01 22:43:03,725 | WARNING  | HealthManager | Provider ALPHA_VANTAGE is unhealthy.
2026-07-01 22:43:03,726 | WARNING  | SourceEngine | ALPHA_VANTAGE OFFLINE
2026-07-01 22:43:03,727 | CRITICAL | SourceEngine | ALL PROVIDERS FAILED : XOM
2026-07-01 22:43:03,728 | INFO     | SourceEngine | REQUEST : XOM
2026-07-01 22:43:03,942 | WARNING  | HealthManager | Provider MASSIVE is unhealthy.
2026-07-01 22:43:03,943 | WARNING  | SourceEngine | MASSIVE OFFLINE
2026-07-01 22:43:04,411 | ERROR    | StatisticsManager | FINNHUB failed after 0.2504s
2026-07-01 22:43:04,412 | WARNING  | SourceEngine | FINNHUB : EMPTY_DATA
